filename,width,height,size_ratio_original,contour,center,diameter,area,order,idx_child,idx_parent,x,y
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,863,1319
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,864,1320
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,868,1320
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,869,1319
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,870,1320
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,870,1321
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,874,1321
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,875,1322
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,877,1322
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,878,1321
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,879,1321
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,881,1319
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,882,1320
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,883,1320
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,883,1317
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,884,1316
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,887,1316
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,887,1313
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,888,1312
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,891,1312
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,889,1310
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,889,1308
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,890,1307
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,890,1305
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,887,1305
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,886,1304
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,886,1301
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,883,1301
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,882,1300
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,882,1297
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,875,1297
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,874,1296
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,873,1297
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,872,1296
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,868,1296
isopods.jpg,2100,1400,1,1,"(850, 1310)",82,1499,parent,-1,-1,867,1295
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,620,1264
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,619,1265
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,614,1265
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,613,1266
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,611,1266
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,610,1267
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,608,1267
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,607,1268
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,606,1268
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,605,1269
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,604,1269
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,603,1270
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,602,1270
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,601,1271
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,599,1271
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,598,1272
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,597,1272
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,596,1273
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,594,1273
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,593,1274
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,591,1274
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,590,1275
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,585,1275
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,584,1276
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,580,1276
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,579,1277
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,577,1277
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,576,1278
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,575,1278
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,574,1279
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,571,1279
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,570,1280
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,567,1280
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,566,1281
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,564,1281
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,562,1283
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,562,1284
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,561,1285
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,560,1285
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,558,1287
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,558,1288
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,557,1289
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,556,1289
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,554,1291
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,554,1292
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,557,1292
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,558,1293
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,558,1296
isopods.jpg,2100,1400,1,2,"(591, 1282)",76,1132,parent,-1,-1,561,1296
