date_taken	date_analyzed	idx	resize_factor	x	y	scale	length1	area1	mean1	sd1	bgr1	bgr_sd1
2018-05-25 14:11:31	2018-11-28 18:05:59	1	1	1455	1865	13.3	87	1091	121	27	(36, 124, 148)	(22, 30, 27)
2018-05-25 14:11:31	2018-11-28 18:05:59	2	1	742	1851	13.3	104	2051	123	20	(41, 126, 147)	(21, 22, 18)
2018-05-25 14:11:31	2018-11-28 18:05:59	3	1	2217	1845	13.3	112	3988	95	35	(50, 98, 106)	(36, 38, 33)
2018-05-25 14:11:31	2018-11-28 18:05:59	4	1	1856	1615	13.3	97	2554	112	32	(39, 114, 138)	(27, 35, 29)
2018-05-25 14:11:31	2018-11-28 18:05:59	5	1	2277	1631	13.3	98	2012	116	28	(34, 119, 140)	(26, 30, 25)
2018-05-25 14:11:31	2018-11-28 18:05:59	6	1	1541	1432	13.3	93	2856	88	32	(42, 90, 101)	(27, 34, 30)
2018-05-25 14:11:31	2018-11-28 18:05:59	7	1	2335	1247	13.3	102	3394	93	32	(42, 95, 108)	(31, 34, 28)
2018-05-25 14:11:31	2018-11-28 18:05:59	8	1	1366	1231	13.3	108	3316	112	33	(59, 115, 126)	(29, 35, 31)
2018-05-25 14:11:31	2018-11-28 18:05:59	9	1	1246	1173	13.3	97	2794	94	35	(46, 95, 108)	(31, 37, 33)
2018-05-25 14:11:31	2018-11-28 18:05:59	10	1	2278	1145	13.3	66	941	120	22	(27, 124, 147)	(20, 24, 22)
2018-05-25 14:11:31	2018-11-28 18:05:59	11	1	2186	1167	13.3	108	2387	121	31	(48, 125, 143)	(25, 34, 30)
2018-05-25 14:11:31	2018-11-28 18:05:59	12	1	2498	1071	13.3	95	2107	122	27	(61, 125, 137)	(30, 29, 24)
2018-05-25 14:11:31	2018-11-28 18:05:59	13	1	1777	896	13.3	67	1032	117	25	(37, 117, 147)	(20, 28, 22)
2018-05-25 14:11:31	2018-11-28 18:05:59	14	1	395	863	13.3	110	2273	121	29	(55, 125, 138)	(29, 32, 25)
2018-05-25 14:11:31	2018-11-28 18:05:59	15	1	701	792	13.3	107	1875	123	22	(29, 126, 153)	(20, 24, 20)
2018-05-25 14:11:31	2018-11-28 18:05:59	16	1	2504	636	13.3	87	1562	124	25	(53, 128, 143)	(23, 27, 24)
2018-05-25 14:11:31	2018-11-28 18:05:59	17	1	1511	588	13.3	94	1603	113	36	(47, 116, 132)	(26, 40, 34)
2018-05-25 14:11:31	2018-11-28 18:05:59	18	1	2461	484	13.3	95	1978	126	24	(36, 130, 152)	(21, 26, 24)
2018-05-25 14:11:31	2018-11-28 18:05:59	19	1	642	488	13.3	115	2424	109	43	(37, 112, 131)	(30, 47, 41)
2018-05-25 14:11:31	2018-11-28 18:05:59	20	1	1014	408	13.3	106	1434	125	20	(50, 129, 147)	(19, 22, 18)
2018-05-25 14:11:31	2018-11-28 18:05:59	21	1	921	316	13.3	89	1609	111	38	(44, 113, 131)	(27, 42, 37)
